,ActivityIdentifier,Calcium,Magnesium,Potassium,Sodium,"Sodium, percent total cations",ProjectIdentifier,ActivityStartDate,ActivityStartTime/Time_PST,LongitudeMeasure,LatitudeMeasure
1128,nwisca.01.01705375,120.0,36.8,2.14,76.3,27000.0,National Water Quality Assessment Program (NAWQA),2017-04-26,14:00:00,-122.0592167,37.90366944
1129,nwisca.01.01705376,112.0,33.3,2.2,61.3,24000.0,National Water Quality Assessment Program (NAWQA),2017-04-26,12:10:00,-122.0999972,37.8823972
1130,nwisca.01.01705377,129.0,52.3,2.56,114.0,31000.0,National Water Quality Assessment Program (NAWQA),2017-04-26,09:30:00,-122.129965,38.0032551
1131,nwisca.01.01705378,104.0,36.1,3.57,93.0,33000.0,National Water Quality Assessment Program (NAWQA),2017-04-25,13:20:00,-122.2109972,37.96865278
1132,nwisca.01.01705379,85.7,33.0,1.4,39.2,20000.0,National Water Quality Assessment Program (NAWQA),2017-04-25,11:10:00,-122.1723056,37.8645083
1133,nwisca.01.01705380,66.2,27.9,1.15,35.7,22000.0,National Water Quality Assessment Program (NAWQA),2017-04-25,09:10:00,-122.1931194,37.88655278
1134,nwisca.01.01705381,152.0,48.7,7.4,88.7,25000.0,National Water Quality Assessment Program (NAWQA),2017-04-24,16:10:00,-122.2905528,37.96884167
1135,nwisca.01.01705382,126.0,42.0,3.79,107.0,32000.0,National Water Quality Assessment Program (NAWQA),2017-04-24,12:30:00,-122.3319972,37.9628
1136,nwisca.01.01705383,61.7,38.3,1.04,40.9,22000.0,National Water Quality Assessment Program (NAWQA),2017-04-13,14:10:00,-121.9456472,37.95036389
1137,nwisca.01.01705384,98.0,35.1,2.2,106.0,37000.0,National Water Quality Assessment Program (NAWQA),2017-04-13,11:10:00,-122.066,37.972
1138,nwisca.01.01705385,120.0,49.3,2.93,105.0,31000.0,National Water Quality Assessment Program (NAWQA),2017-04-12,15:10:00,-122.129965,38.0032551
1139,nwisca.01.01705387,110.0,35.1,2.41,65.2,25000.0,National Water Quality Assessment Program (NAWQA),2017-04-12,11:30:00,-122.0592167,37.90366944
1140,nwisca.01.01705388,101.0,30.5,2.31,54.2,24000.0,National Water Quality Assessment Program (NAWQA),2017-04-11,17:50:00,-122.0999972,37.8823972
1141,nwisca.01.01705389,77.8,29.9,1.65,33.8,19000.0,National Water Quality Assessment Program (NAWQA),2017-04-11,13:10:00,-122.1723056,37.8645083
1142,nwisca.01.01705390,60.0,25.1,1.34,30.5,21000.0,National Water Quality Assessment Program (NAWQA),2017-04-11,09:20:00,-122.1931194,37.88655278
1143,nwisca.01.01705391,142.0,46.1,6.89,84.3,25000.0,National Water Quality Assessment Program (NAWQA),2017-04-10,18:10:00,-122.2905528,37.96884167
1144,nwisca.01.01705392,103.0,35.6,3.55,86.9,32000.0,National Water Quality Assessment Program (NAWQA),2017-04-10,13:10:00,-122.3319972,37.9628
1145,nwisca.01.01705393,122.0,48.6,2.63,107.0,31000.0,,2017-04-19,13:50:00,-122.129965,38.0032551
1146,nwisca.01.01705394,105.0,32.9,2.1,64.5,26000.0,,2017-04-19,12:00:00,-122.0592167,37.90366944
1147,nwisca.01.01705395,103.0,30.9,2.17,55.1,24000.0,National Water Quality Assessment Program (NAWQA),2017-04-19,09:30:00,-122.0999972,37.8823972
1148,nwisca.01.01705396,92.9,31.5,2.14,87.7,34000.0,,2017-04-20,09:40:00,-122.066,37.972
1149,nwisca.01.01705397,69.8,42.4,1.06,49.9,24000.0,,2017-04-20,14:00:00,-121.9456472,37.95036389
1150,nwisca.01.01705744,31.2,35.9,1.47,28.4,21000.0,,2017-06-08,10:30:00,-122.5075833,37.76575
1151,nwisca.01.01705745,76.7,21.6,1.75,77.4,37000.0,,2017-06-07,15:30:00,-122.1903333,37.46366667
1152,nwisca.01.01705746,39.3,10.8,2.33,128.0,66000.0,,2017-06-07,10:00:00,-122.0973889,37.61888889
1153,nwisca.01.01705747,30.8,23.0,3.12,44.0,35000.0,,2017-06-06,14:00:00,-122.4136944,37.61727778
1154,nwisca.01.01705849,78.1,21.4,1.33,32.2,20000.0,,2017-06-15,10:50:00,-121.9865556,37.36316667
1155,nwisca.01.01705850,133.0,47.5,3.28,162.0,40000.0,,2017-06-14,14:30:00,-122.0205278,37.5386111
1156,nwisca.01.01705851,30.5,64.2,1.03,22.3,12000.0,,2017-06-14,11:20:00,-121.6503333,37.16813889
1157,nwisca.01.01705852,65.5,64.6,1.26,42.8,18000.0,,2017-06-13,12:30:00,-121.8370556,37.30041667
1158,nwisca.01.01705853,56.2,28.6,1.22,20.2,14000.0,,2017-06-13,10:30:00,-121.964111,37.3101111
1159,nwisca.01.01706464,84.1,45.5,2.48,132.0,42000.0,National Water Quality Assessment Program (NAWQA),2017-03-20,12:20:00,-121.8830126,37.62659915
1160,nwisca.01.01706465,29.9,14.9,2.05,17.3,21000.0,National Water Quality Assessment Program (NAWQA),2017-03-21,11:30:00,-121.7946583,37.26493889
