,Magnesium,Sodium,"Sodium, percent total cations",Potassium,Calcium
1490,140.0,300.0,34.0,1.6,280.0
1492,30.0,68.0,35.0,2.0,62.0
1493,38.0,26.0,18.0,2.1,40.0
1495,130.0,76.0,18.0,1.0,78.0
1496,130.0,86.0,20.0,1.1,79.0
1498,26.0,35.0,24.0,1.6,54.0
1499,83.0,120.0,29.0,3.1,120.0
1500,90.0,110.0,26.0,2.8,120.0
1501,82.0,110.0,29.0,2.7,100.0
1503,63.0,38.0,15.0,3.6,80.0
1506,75.0,38.0,15.0,1.9,61.0
1507,63.0,37.0,14.0,3.1,88.0
1512,61.0,120.0,35.0,5.3,92.0
1514,78.0,140.0,36.0,3.0,91.0
1515,74.0,120.0,32.0,4.5,100.0
1521,60.0,200.0,39.0,1.0,170.0
1522,59.0,200.0,39.0,1.3,170.0
1524,48.0,140.0,49.0,1.0,46.0
1526,56.0,43.0,18.0,3.5,72.0
1529,70.0,50.0,20.0,1.9,55.0
1530,62.0,48.0,19.0,3.3,78.0
1536,100.0,66.0,19.0,2.4,82.0
1538,67.0,140.0,39.0,2.3,79.0
1540,57.0,61.0,26.0,1.8,59.0
1542,650.0,1800.0,51.0,1.7,450.0
1543,590.0,1700.0,51.0,3.3,450.0
1544,93.0,49.0,18.0,0.8,39.0
1546,2100.0,8300.0,65.0,15.0,510.0
1547,2000.0,8600.0,66.0,12.0,540.0
1551,76.0,140.0,37.0,1.0,79.0
1553,61.0,130.0,43.0,3.0,46.0
1554,53.0,300.0,57.0,1.7,110.0
1555,32.0,100.0,38.0,1.9,89.0
1557,52.0,130.0,43.0,1.8,62.0
1559,20.0,120.0,58.0,1.6,42.0
1561,27.0,140.0,62.0,1.0,30.0
1563,37.0,220.0,63.0,2.0,53.0
1565,33.0,190.0,62.0,1.0,46.0
1567,56.0,28.0,14.0,1.8,52.0
1569,38.0,58.0,24.0,0.6,97.0
1571,40.0,340.0,74.0,5.0,38.0
1573,290.0,830.0,43.0,4.1,480.0
1574,300.0,870.0,44.0,4.3,480.0
1576,66.0,220.0,45.0,2.0,120.0
1577,61.0,220.0,46.0,1.3,120.0
1579,29.0,530.0,84.0,1.0,40.0
1580,34.0,550.0,81.0,2.1,54.0
1582,38.0,73.0,22.0,1.2,160.0
1583,37.0,73.0,22.0,0.9,170.0
1584,11.0,90.0,62.0,0.9,30.0
1586,260.0,1200.0,60.0,5.0,280.0
1587,180.0,1000.0,64.0,2.7,200.0
1589,88.0,550.0,66.0,1.2,96.0
1590,33.0,210.0,68.0,0.6,33.0
1591,1500.0,9200.0,69.0,7.0,1100.0
1593,32.0,100.0,47.0,1.4,44.0
1595,33.0,600.0,82.0,0.9,63.0
1596,27.0,150.0,59.0,1.0,45.0
1598,31.0,260.0,74.0,0.8,27.0
1600,38.0,93.0,32.0,0.6,110.0
1601,35.0,87.0,31.0,1.1,110.0
1627,30.0,160.0,62.0,8.2,31.0
1646,29.0,68.0,35.0,2.1,63.0
1652,31.0,84.0,38.0,2.5,67.0
1654,30.0,89.0,39.0,3.1,71.0
1655,22.0,430.0,84.0,5.6,32.0
1656,30.0,420.0,80.0,6.3,39.0
1657,66.0,190.0,44.0,5.2,100.0
1658,62.0,220.0,50.0,6.1,88.0
1659,50.0,120.0,37.0,3.8,93.0
1660,56.0,130.0,36.0,3.7,110.0
1661,30.0,71.0,36.0,2.2,60.0
1662,15.0,40.0,38.0,2.1,31.0
1663,30.0,220.0,70.0,2.8,33.0
1664,45.0,150.0,52.0,4.2,44.0
1665,49.0,260.0,62.0,4.2,54.0
1666,120.0,260.0,46.0,3.5,67.0
1667,86.0,280.0,53.0,4.6,74.0
1668,100.0,88.0,22.0,2.6,100.0
1669,43.0,70.0,31.0,4.3,63.0
1670,100.0,64.0,20.0,2.3,52.0
1671,80.0,55.0,21.0,2.6,48.0
1672,83.0,58.0,21.0,2.3,49.0
1673,68.0,180.0,38.0,2.5,140.0
1674,73.0,140.0,32.0,2.9,140.0
1675,56.0,51.0,18.0,0.5,110.0
1676,47.0,47.0,18.0,0.6,110.0
1677,47.0,48.0,18.0,0.7,110.0
1678,41.0,60.0,26.0,2.6,78.0
1679,40.0,59.0,26.0,2.2,80.0
1680,39.0,56.0,25.0,2.9,80.0
1681,38.0,52.0,25.0,2.0,71.0
1682,31.0,53.0,29.0,2.1,60.0
1683,35.0,37.0,20.0,1.2,71.0
1684,61.0,81.0,24.0,3.2,120.0
1685,66.0,49.0,16.0,2.7,120.0
1686,74.0,160.0,39.0,1.6,96.0
1687,69.0,180.0,41.0,1.7,110.0
1688,22.0,33.0,29.0,1.3,35.0
1689,20.0,33.0,26.0,1.3,48.0
1690,71.0,150.0,40.0,0.9,81.0
1691,58.0,160.0,44.0,1.1,82.0
1692,74.0,120.0,29.0,3.5,130.0
1693,66.0,160.0,37.0,1.2,130.0
1694,26.0,28.0,21.0,1.8,49.0
1695,27.0,35.0,24.0,1.6,51.0
1696,26.0,30.0,21.0,1.7,54.0
1697,29.0,100.0,54.0,1.2,27.0
1698,29.0,100.0,53.0,1.5,29.0
1699,26.0,82.0,50.0,2.9,27.0
1700,24.0,80.0,50.0,4.4,27.0
1701,29.0,84.0,48.0,2.8,30.0
1702,62.0,120.0,36.0,1.6,86.0
1703,19.0,25.0,24.0,1.0,36.0
1704,19.0,22.0,22.0,1.3,36.0
1705,42.0,35.0,17.0,1.9,83.0
1706,42.0,35.0,17.0,2.1,81.0
1707,32.0,40.0,19.0,2.2,94.0
1708,38.0,36.0,18.0,2.0,83.0
1709,44.0,130.0,44.0,1.4,69.0
1710,44.0,130.0,44.0,1.9,69.0
1711,46.0,140.0,44.0,2.0,78.0
1712,45.0,140.0,44.0,1.8,79.0
1713,210.0,140.0,16.0,2.3,290.0
1714,210.0,140.0,16.0,2.2,300.0
1715,200.0,160.0,18.0,2.8,300.0
1716,36.0,56.0,28.0,1.7,63.0
1717,34.0,58.0,30.0,2.2,62.0
1718,12.0,36.0,43.0,0.9,22.0
1719,13.0,29.0,35.0,1.2,25.0
1720,55.0,120.0,41.0,1.2,59.0
1721,41.0,120.0,45.0,1.4,58.0
1722,100.0,52.0,17.0,1.4,50.0
1723,120.0,42.0,12.0,1.1,60.0
1724,110.0,46.0,14.0,1.6,62.0
1725,27.0,39.0,28.0,2.2,42.0
1726,25.0,41.0,30.0,2.6,42.0
1727,27.0,66.0,38.0,1.4,50.0
1728,25.0,71.0,41.0,1.7,47.0
1729,55.0,52.0,18.0,3.3,110.0
1730,40.0,44.0,21.0,2.5,76.0
1731,34.0,39.0,21.0,1.9,71.0
1732,170.0,240.0,34.0,1.4,130.0
1733,150.0,200.0,32.0,1.5,130.0
1734,130.0,210.0,35.0,1.3,130.0
1735,30.0,31.0,19.0,0.4,62.0
1736,30.0,31.0,19.0,0.4,65.0
1737,29.0,31.0,19.0,0.6,65.0
1738,67.0,95.0,33.0,1.0,60.0
1739,67.0,110.0,35.0,1.4,66.0
1740,48.0,31.0,20.0,1.4,30.0
1741,53.0,30.0,18.0,1.9,35.0
1742,28.0,32.0,21.0,1.7,61.0
1743,28.0,32.0,21.0,2.0,60.0
1744,19.0,37.0,23.0,1.9,74.0
1745,25.0,30.0,20.0,1.6,62.0
1746,70.0,56.0,16.0,3.5,140.0
1747,58.0,55.0,18.0,3.0,120.0
1748,55.0,51.0,17.0,2.4,120.0
1749,28.0,44.0,28.0,1.7,50.0
1750,30.0,47.0,28.0,2.0,54.0
1751,15.0,51.0,44.0,1.5,31.0
1752,58.0,35.0,18.0,1.9,40.0
1753,49.0,37.0,22.0,2.4,33.0
1754,49.0,38.0,22.0,2.1,34.0
1755,50.0,84.0,38.0,6.3,35.0
1756,40.0,23.0,15.0,1.1,44.0
1757,39.0,23.0,15.0,1.0,45.0
1758,36.0,22.0,16.0,1.1,40.0
1759,38.0,27.0,19.0,1.4,39.0
1760,150.0,280.0,32.0,1.4,270.0
1761,140.0,280.0,33.0,1.2,270.0
1762,160.0,300.0,32.0,1.3,290.0
1763,56.0,27.0,14.0,2.0,52.0
1764,58.0,28.0,14.0,2.1,48.0
1765,51.0,30.0,15.0,2.1,60.0
1766,52.0,29.0,15.0,1.9,52.0
1767,32.0,70.0,34.0,2.0,66.0
1768,31.0,70.0,33.0,2.5,69.0
1769,42.0,23.0,15.0,1.9,40.0
1770,41.0,23.0,16.0,2.1,40.0
1771,41.0,29.0,19.0,2.3,42.0
1772,54.0,36.0,15.0,2.2,92.0
1773,52.0,42.0,17.0,2.3,96.0
1774,45.0,36.0,18.0,1.8,72.0
1775,44.0,36.0,18.0,1.8,66.0
1776,36.0,40.0,20.0,2.0,78.0
1777,43.0,39.0,19.0,1.8,71.0
1778,72.0,26.0,12.0,1.3,41.0
1779,44.0,81.0,31.0,4.3,81.0
1781,50.0,84.0,38.0,6.3,35.0
1782,130.0,81.0,20.0,0.9,76.0
1783,110.0,82.0,22.0,1.0,70.0
1784,120.0,85.0,21.0,1.3,82.0
1785,56.0,66.0,22.0,2.4,110.0
1786,47.0,50.0,20.0,2.5,96.0
1787,71.0,36.0,16.0,1.9,50.0
1788,75.0,40.0,17.0,1.5,48.0
1789,81.0,38.0,15.0,1.3,49.0
1790,28.0,35.0,23.0,1.5,58.0
1791,29.0,38.0,23.0,1.8,61.0
1792,72.0,100.0,29.0,2.4,91.0
1793,86.0,110.0,27.0,2.1,110.0
1794,90.0,110.0,27.0,3.1,110.0
1795,67.0,42.0,14.0,3.2,120.0
1796,65.0,43.0,14.0,2.7,120.0
1797,68.0,44.0,13.0,2.5,140.0
1798,96.0,45.0,14.0,2.1,77.0
1799,89.0,53.0,17.0,2.3,74.0
1800,78.0,35.0,14.0,1.6,51.0
1801,75.0,33.0,14.0,2.4,56.0
1802,76.0,34.0,14.0,2.2,55.0
1803,57.0,190.0,39.0,1.3,170.0
1804,71.0,44.0,15.0,2.4,91.0
1805,78.0,45.0,14.0,2.7,110.0
1806,78.0,46.0,15.0,2.6,100.0
1807,48.0,140.0,49.0,1.4,45.0
1808,49.0,140.0,49.0,2.1,44.0
1809,75.0,42.0,17.0,1.8,57.0
1810,60.0,44.0,20.0,1.9,50.0
1811,100.0,72.0,21.0,2.8,74.0
1812,82.0,93.0,29.0,2.5,63.0
1813,69.0,140.0,39.0,2.0,76.0
1814,72.0,140.0,37.0,2.6,84.0
1815,87.0,72.0,21.0,2.4,88.0
1816,85.0,88.0,26.0,1.8,83.0
1817,73.0,100.0,28.0,3.0,100.0
1818,40.0,64.0,34.0,1.8,43.0
1819,90.0,70.0,21.0,1.8,75.0
1820,87.0,86.0,26.0,2.5,69.0
1821,590.0,1700.0,50.0,2.6,500.0
1822,61.0,29.0,14.0,1.8,53.0
1823,60.0,30.0,15.0,1.8,50.0
1824,50.0,34.0,17.0,2.0,64.0
1825,51.0,41.0,21.0,1.9,47.0
1826,88.0,89.0,29.0,1.6,42.0
1827,90.0,74.0,23.0,1.2,70.0
1828,90.0,56.0,21.0,0.9,37.0
1829,95.0,62.0,22.0,0.8,40.0
1830,64.0,39.0,20.0,0.7,27.0
1831,87.0,62.0,23.0,1.0,42.0
1832,400.0,900.0,36.0,4.7,750.0
1833,500.0,1100.0,37.0,5.2,840.0
1834,2000.0,8200.0,65.0,10.0,540.0
1835,2000.0,8100.0,65.0,12.0,560.0
1836,2000.0,9400.0,70.0,5.9,200.0
1837,26.0,77.0,40.0,2.3,56.0
1838,28.0,73.0,38.0,2.2,56.0
1839,28.0,81.0,39.0,1.5,62.0
1840,29.0,87.0,40.0,2.5,64.0
1841,48.0,190.0,57.0,0.9,47.0
1842,70.0,210.0,49.0,1.2,73.0
1843,76.0,150.0,39.0,2.0,77.0
1844,84.0,160.0,38.0,2.6,90.0
1845,57.0,120.0,44.0,3.2,40.0
1846,75.0,140.0,40.0,4.5,54.0
1847,230.0,500.0,39.0,2.8,310.0
1848,240.0,470.0,36.0,2.7,320.0
1849,240.0,520.0,39.0,2.2,320.0
1850,52.0,310.0,58.0,3.6,110.0
1851,56.0,300.0,56.0,3.5,110.0
1852,53.0,310.0,58.0,3.0,110.0
1853,56.0,320.0,58.0,3.7,110.0
1854,68.0,85.0,32.0,2.1,45.0
1855,70.0,88.0,32.0,2.6,48.0
1856,76.0,85.0,30.0,2.5,49.0
1857,33.0,110.0,40.0,1.8,88.0
1858,35.0,110.0,39.0,1.9,90.0
1859,30.0,100.0,40.0,1.5,80.0
1860,30.0,100.0,40.0,2.0,81.0
1861,57.0,140.0,43.0,1.8,68.0
1862,50.0,100.0,37.0,1.9,65.0
1863,97.0,260.0,45.0,1.7,120.0
1864,57.0,220.0,53.0,2.3,78.0
1865,21.0,140.0,61.0,1.6,43.0
1866,21.0,130.0,58.0,1.8,48.0
1867,29.0,150.0,63.0,1.2,30.0
1868,31.0,160.0,62.0,1.8,35.0
1869,39.0,210.0,61.0,2.2,50.0
1870,38.0,220.0,62.0,2.7,54.0
1871,37.0,200.0,61.0,1.1,48.0
1872,41.0,220.0,61.0,1.7,56.0
1873,47.0,270.0,57.0,1.9,100.0
1874,44.0,280.0,58.0,2.2,100.0
1875,12.0,250.0,85.0,3.4,16.0
1876,58.0,28.0,14.0,1.6,51.0
1877,51.0,28.0,15.0,1.9,54.0
1878,76.0,240.0,46.0,1.1,120.0
1879,66.0,250.0,50.0,1.3,110.0
1880,67.0,260.0,51.0,1.2,110.0
1881,36.0,200.0,62.0,0.9,48.0
1882,38.0,210.0,63.0,0.6,45.0
1883,40.0,62.0,26.0,0.3,87.0
1884,30.0,82.0,45.0,1.6,38.0
1885,40.0,120.0,47.0,2.3,53.0
1886,42.0,110.0,43.0,2.1,56.0
1887,40.0,360.0,75.0,2.5,36.0
1888,31.0,330.0,77.0,2.1,32.0
1889,37.0,290.0,62.0,1.5,93.0
1890,38.0,210.0,60.0,1.6,57.0
1891,34.0,240.0,63.0,1.8,68.0
1892,37.0,240.0,63.0,1.8,60.0
1893,330.0,860.0,42.0,4.2,490.0
1894,260.0,760.0,45.0,3.3,390.0
1895,250.0,790.0,47.0,3.0,370.0
1896,59.0,230.0,48.0,1.4,120.0
1897,64.0,220.0,46.0,1.1,120.0
1898,63.0,220.0,46.0,1.1,120.0
1899,39.0,530.0,77.0,2.1,74.0
1900,28.0,530.0,85.0,1.3,37.0
1901,33.0,590.0,84.0,1.0,40.0
1902,18.0,270.0,79.0,1.5,34.0
1903,18.0,290.0,79.0,1.4,35.0
1904,20.0,270.0,78.0,1.3,34.0
1905,46.0,300.0,61.0,1.9,91.0
1906,60.0,360.0,60.0,0.5,110.0
1907,56.0,360.0,61.0,1.9,110.0
1908,18.0,130.0,63.0,0.7,36.0
1909,19.0,140.0,65.0,0.9,33.0
1910,27.0,100.0,50.0,0.8,43.0
1911,26.0,110.0,53.0,1.1,41.0
1912,27.0,100.0,49.0,1.0,44.0
1913,39.0,66.0,20.0,0.6,170.0
1914,36.0,72.0,23.0,0.6,150.0
1915,36.0,69.0,22.0,0.5,160.0
1916,11.0,96.0,64.0,1.1,29.0
1917,12.0,93.0,62.0,0.7,30.0
1918,11.0,88.0,62.0,0.5,29.0
1919,11.0,89.0,61.0,0.9,30.0
1920,150.0,880.0,65.0,2.4,160.0
1921,170.0,930.0,64.0,2.4,180.0
1922,110.0,700.0,67.0,1.4,120.0
1923,40.0,150.0,54.0,1.4,45.0
1924,38.0,160.0,55.0,1.7,49.0
1925,39.0,160.0,55.0,1.7,49.0
1926,27.0,300.0,80.0,0.8,22.0
1927,19.0,270.0,83.0,1.0,18.0
1928,19.0,260.0,82.0,0.8,17.0
1929,85.0,550.0,67.0,1.6,96.0
1930,91.0,590.0,66.0,1.8,110.0
1931,21.0,53.0,26.0,0.9,94.0
1932,20.0,47.0,24.0,1.0,95.0
1933,20.0,49.0,25.0,1.3,95.0
1934,32.0,200.0,67.0,0.4,33.0
1935,35.0,200.0,66.0,0.6,32.0
1936,34.0,170.0,61.0,1.2,37.0
1937,37.0,190.0,62.0,0.8,42.0
1938,1400.0,9300.0,71.0,11.0,980.0
1939,1400.0,9400.0,71.0,9.0,960.0
1940,1500.0,8800.0,69.0,6.2,990.0
1941,1400.0,8800.0,69.0,2.7,1100.0
1942,34.0,110.0,49.0,1.1,43.0
1943,36.0,110.0,47.0,1.5,46.0
1944,35.0,580.0,81.0,1.6,60.0
1945,31.0,590.0,82.0,2.1,62.0
1946,26.0,150.0,59.0,2.0,46.0
1947,29.0,150.0,58.0,2.2,46.0
1948,27.0,150.0,59.0,1.5,45.0
1949,28.0,140.0,56.0,1.9,49.0
1950,32.0,260.0,74.0,1.1,27.0
1951,30.0,270.0,76.0,1.4,24.0
1952,38.0,87.0,32.0,0.9,100.0
1953,36.0,87.0,32.0,1.0,100.0
1954,36.0,90.0,32.0,1.0,110.0
1955,29.0,65.0,26.0,1.0,110.0
1969,24.0,85.0,49.0,5.8,34.0
1970,24.0,87.0,69.0,5.1,32.0
1971,37.0,150.0,72.0,9.0,47.0
1980,29.0,140.0,55.0,11.0,48.0
1992,13.0,27.0,31.0,3.7,29.0
1993,18.0,79.0,48.0,4.4,44.0
1994,14.0,28.0,29.0,3.5,34.0
1995,9.2,20.0,30.0,3.2,24.0
1996,8.3,13.0,23.0,2.6,24.0
1997,13.0,23.0,27.0,3.1,31.0
1998,25.0,43.0,26.0,2.4,66.0
1999,16.0,28.0,26.0,2.7,40.0
2000,25.0,41.0,26.0,2.2,58.0
2001,52.0,89.0,29.0,3.4,100.0
2002,4.5,10.0,30.0,1.3,12.0
2003,5.0,10.0,28.0,1.1,14.0
2004,6.9,16.0,32.0,1.2,18.0
2005,5.7,12.0,29.0,1.6,15.0
2006,7.1,16.0,30.0,2.2,20.0
2007,3.9,6.4,22.0,1.5,13.0
2008,4.1,8.3,27.0,1.5,12.0
2009,12.0,16.0,25.0,1.5,21.0
2010,7.0,14.0,29.0,1.8,18.0
2011,6.4,14.0,28.0,2.6,19.0
2012,76.0,160.0,39.0,3.5,95.0
2015,25.0,73.0,36.0,1.1,72.0
2018,25.0,92.0,45.0,2.6,56.0
2021,74.0,230.0,48.0,6.0,96.0
2023,16.0,33.0,32.0,2.0,35.0
2025,39.0,250.0,70.0,2.3,30.0
2027,63.0,280.0,56.0,4.5,83.0
2030,79.0,81.0,25.0,2.8,86.0
2033,41.0,62.0,29.0,4.8,63.0
2036,95.0,61.0,20.0,2.7,55.0
2039,48.0,47.0,18.0,0.7,110.0
2041,29.0,46.0,27.0,2.8,59.0
2043,18.0,42.0,35.0,1.9,36.0
2045,32.0,35.0,20.0,1.4,66.0
2048,51.0,120.0,37.0,3.9,91.0
2051,61.0,51.0,17.0,2.9,110.0
2054,65.0,170.0,39.0,1.5,120.0
2057,20.0,32.0,30.0,1.4,32.0
2059,65.0,140.0,39.0,1.0,86.0
2062,71.0,110.0,28.0,3.9,130.0
2068,27.0,30.0,21.0,1.6,54.0
2070,28.0,96.0,53.0,1.7,27.0
2072,28.0,88.0,50.0,3.0,28.0
2074,60.0,120.0,36.0,1.9,87.0
2077,17.0,21.0,24.0,1.3,30.0
2079,43.0,36.0,17.0,2.0,82.0
2080,49.0,140.0,43.0,2.1,82.0
2082,53.0,46.0,29.0,2.3,95.0
2083,190.0,140.0,16.0,2.4,310.0
2085,33.0,55.0,30.0,1.7,59.0
2087,12.0,32.0,41.0,1.3,20.0
2089,55.0,130.0,43.0,1.4,57.0
2091,100.0,46.0,15.0,1.5,56.0
2093,17.0,39.0,37.0,2.3,29.0
2095,24.0,74.0,43.0,1.8,46.0
2097,22.0,33.0,26.0,1.7,46.0
2099,140.0,210.0,34.0,1.1,120.0
2101,28.0,30.0,19.0,0.5,65.0
2103,70.0,84.0,29.0,1.2,66.0
2105,54.0,29.0,16.0,2.2,38.0
2107,26.0,33.0,22.0,1.6,58.0
2108,49.0,49.0,18.0,2.4,110.0
2110,25.0,49.0,32.0,2.1,48.0
2112,15.0,51.0,45.0,1.4,30.0
2114,46.0,46.0,20.0,2.8,87.0
2115,44.0,37.0,24.0,2.0,30.0
2117,37.0,21.0,16.0,1.5,38.0
2119,160.0,310.0,32.0,1.0,300.0
2121,57.0,29.0,15.0,1.9,48.0
2122,30.0,72.0,35.0,2.6,67.0
2124,40.0,24.0,16.0,2.5,40.0
2126,50.0,36.0,15.0,2.0,100.0
2128,43.0,37.0,19.0,1.8,65.0
2130,71.0,29.0,14.0,1.2,37.0
2132,45.0,71.0,27.0,3.2,91.0
2134,120.0,83.0,20.0,1.2,83.0
2136,55.0,64.0,23.0,2.7,100.0
2138,80.0,38.0,15.0,1.4,50.0
2140,26.0,35.0,23.0,1.8,56.0
2142,98.0,110.0,24.0,2.8,140.0
2144,60.0,42.0,14.0,2.7,120.0
2146,74.0,39.0,16.0,2.2,60.0
2148,76.0,34.0,14.0,2.1,52.0
2150,55.0,200.0,42.0,1.6,150.0
2153,76.0,44.0,14.0,2.4,100.0
2155,48.0,150.0,51.0,2.2,45.0
2157,63.0,40.0,19.0,2.0,48.0
2159,90.0,84.0,25.0,2.2,68.0
2161,69.0,150.0,41.0,2.6,76.0
2163,38.0,58.0,33.0,1.7,38.0
2164,80.0,89.0,28.0,2.5,69.0
2166,560.0,1600.0,54.0,1.9,280.0
2169,90.0,150.0,23.0,2.6,290.0
2170,59.0,32.0,16.0,1.8,48.0
2171,82.0,71.0,23.0,1.0,68.0
2173,81.0,57.0,23.0,1.2,36.0
2175,370.0,740.0,31.0,5.0,840.0
2177,2000.0,8200.0,68.0,5.9,130.0
2179,34.0,81.0,35.0,2.7,73.0
2180,60.0,220.0,54.0,0.9,65.0
2182,75.0,210.0,48.0,2.3,72.0
2183,90.0,170.0,38.0,2.1,89.0
2185,60.0,130.0,43.0,3.3,48.0
2187,230.0,510.0,39.0,2.1,310.0
2189,45.0,310.0,58.0,3.3,120.0
2191,76.0,84.0,30.0,3.2,48.0
2193,31.0,110.0,41.0,2.1,85.0
2195,56.0,90.0,34.0,1.7,60.0
2197,52.0,230.0,55.0,1.3,76.0
2199,20.0,130.0,59.0,1.6,45.0
2201,35.0,160.0,58.0,1.4,41.0
2203,38.0,220.0,62.0,2.0,55.0
2205,42.0,220.0,59.0,1.4,61.0
2207,46.0,280.0,58.0,2.1,100.0
2209,12.0,260.0,85.0,3.5,17.0
2211,58.0,28.0,14.0,1.8,52.0
2213,59.0,240.0,46.0,1.4,150.0
2215,40.0,220.0,61.0,0.6,57.0
2217,39.0,70.0,29.0,0.4,84.0
2219,31.0,79.0,42.0,1.8,42.0
2221,32.0,320.0,77.0,1.8,31.0
2223,30.0,260.0,61.0,1.4,97.0
2225,35.0,230.0,63.0,1.6,59.0
2227,240.0,750.0,45.0,3.1,410.0
2229,56.0,210.0,46.0,1.0,120.0
2231,30.0,150.0,62.0,2.3,79.0
2232,30.0,560.0,84.0,1.0,45.0
2234,18.0,280.0,79.0,1.4,34.0
2236,52.0,370.0,62.0,2.2,110.0
2238,18.0,140.0,64.0,0.9,39.0
2240,24.0,100.0,51.0,1.4,42.0
2242,31.0,69.0,23.0,0.6,150.0
2244,11.0,85.0,61.0,0.9,29.0
2246,140.0,840.0,65.0,1.5,170.0
2248,26.0,130.0,52.0,1.7,61.0
2249,23.0,130.0,67.0,1.4,54.0
2251,19.0,250.0,82.0,0.8,16.0
2253,98.0,580.0,65.0,2.5,110.0
2255,36.0,68.0,28.0,1.0,92.0
2256,20.0,51.0,25.0,1.5,99.0
2258,32.0,180.0,64.0,1.0,34.0
2261,32.0,100.0,48.0,1.9,42.0
2263,41.0,450.0,76.0,2.4,57.0
2265,25.0,140.0,59.0,2.2,44.0
2267,28.0,250.0,76.0,1.2,23.0
2269,34.0,87.0,33.0,1.0,100.0
2271,27.0,72.0,30.0,1.0,100.0
2273,8.4,23.0,47.0,2.3,21.0
2274,7.3,30.0,47.0,2.7,16.0
2275,13.0,37.0,38.0,2.3,29.0
2276,27.0,68.0,34.0,2.4,68.0
2277,37.0,100.0,36.0,2.6,93.0
2278,39.0,120.0,40.0,2.2,94.0
2279,39.0,120.0,39.0,2.5,95.0
2280,44.0,130.0,38.0,2.4,110.0
2281,46.0,140.0,41.0,1.6,100.0
2283,27.0,15.0,41.0,2.2,18.0
2284,19.0,13.0,19.0,2.1,17.0
2285,41.0,21.0,16.0,2.5,28.0
2286,49.0,24.0,16.0,2.6,31.0
2287,65.0,32.0,16.0,2.9,37.0
2288,67.0,35.0,17.0,3.2,37.0
2289,79.0,37.0,15.0,3.2,46.0
2290,46.0,360.0,85.0,4.0,55.0
2291,13.0,140.0,84.0,4.8,20.0
2292,28.0,360.0,76.0,7.9,49.0
2293,34.0,390.0,76.0,7.8,46.0
2294,59.0,770.0,77.0,12.0,93.0
2295,29.0,170.0,78.0,12.0,36.0
2296,5.8,49.0,63.0,3.5,14.0
2297,11.0,98.0,69.0,3.6,19.0
2298,57.0,390.0,65.0,6.0,85.0
2299,8.0,51.0,58.0,6.6,16.0
2300,12.0,41.0,42.0,3.4,27.0
2301,27.0,72.0,37.0,3.2,62.0
2302,32.0,87.0,38.0,2.9,71.0
2303,34.0,100.0,43.0,3.0,57.0
2304,35.0,110.0,44.0,4.2,62.0
2305,38.0,120.0,43.0,3.9,74.0
2306,10.0,23.0,33.0,2.8,22.0
2307,11.0,23.0,33.0,2.5,21.0
2308,17.0,24.0,26.0,2.2,31.0
2309,18.0,29.0,28.0,2.4,35.0
2310,16.0,24.0,27.0,2.0,30.0
2311,37.0,120.0,69.0,8.5,43.0
2312,42.0,100.0,42.0,7.0,47.0
2313,26.0,80.0,63.0,6.1,37.0
2314,9.4,33.0,58.0,3.6,19.0
2315,13.0,38.0,41.0,2.7,24.0
2316,28.0,79.0,41.0,3.2,53.0
2317,43.0,100.0,38.0,2.8,73.0
2318,42.0,84.0,36.0,2.7,62.0
2319,43.0,88.0,36.0,2.8,67.0
2320,20.0,35.0,30.0,2.2,36.0
2321,63.0,120.0,31.0,1.1,130.0
2322,85.0,160.0,32.0,1.5,160.0
2323,13.0,24.0,29.0,3.2,28.0
2324,33.0,57.0,28.0,2.8,74.0
2325,13.0,21.0,26.0,2.6,29.0
2326,21.0,34.0,26.0,2.6,49.0
2327,20.0,30.0,26.0,1.9,42.0
2328,32.0,52.0,26.0,1.1,74.0
2329,70.0,150.0,36.0,4.5,110.0
2330,7.3,14.0,25.0,4.0,23.0
2331,3.2,7.7,29.0,1.6,10.0
2332,2.7,6.6,29.0,1.8,8.8
2333,6.0,15.0,33.0,2.5,15.0
2334,74.0,170.0,38.0,4.5,120.0
2335,1.3,9.6,33.0,1.8,14.0
2336,6.1,14.0,33.0,1.5,14.0
2337,7.9,16.0,30.0,2.4,18.0
2338,52.0,100.0,33.0,2.3,94.0
2339,8.5,17.0,29.0,1.7,21.0
2340,6.6,11.0,27.0,1.7,14.0
2341,13.0,24.0,30.0,1.5,26.0
2342,44.0,92.0,35.0,2.0,74.0
2343,43.0,97.0,37.0,1.7,71.0
2344,34.0,400.0,79.0,4.4,36.0
2345,32.0,55.0,28.0,2.8,70.0
2346,28.0,96.0,52.0,3.4,28.0
2347,110.0,370.0,58.0,2.8,53.0
2348,110.0,280.0,51.0,0.9,55.0
2349,87.0,73.0,21.0,1.9,100.0
2350,48.0,84.0,31.0,3.9,80.0
2351,80.0,54.0,20.0,2.8,50.0
2352,51.0,100.0,31.0,2.1,110.0
2353,54.0,51.0,27.0,0.6,120.0
2354,6.1,6.9,17.0,1.6,18.0
2355,20.0,42.0,33.0,1.8,41.0
2356,33.0,35.0,20.0,1.1,71.0
2357,50.0,100.0,33.0,2.9,92.0
2358,65.0,55.0,17.0,2.4,120.0
2359,67.0,170.0,43.0,1.6,84.0
2360,22.0,35.0,29.0,1.4,36.0
2361,64.0,140.0,40.0,1.1,79.0
2362,71.0,110.0,28.0,3.0,130.0
