,ActivityIdentifier,Enterococcus,Fecal Coliform,Total Coliform
217,11NPSWRD_WQX-PRSF_WQ_EL2_20130416_L,,,1700.0
218,11NPSWRD_WQX-PRSF_WQ_EL2_20130416_L/1,,,2000.0
219,11NPSWRD_WQX-PRSF_WQ_EL2_20130521_L,,,17000.0
220,11NPSWRD_WQX-PRSF_WQ_EL2_20130521_L/1,,,17000.0
221,11NPSWRD_WQX-PRSF_WQ_EL2_20130627_L,,,11000.0
222,11NPSWRD_WQX-PRSF_WQ_EL2_20130627_L/1,,,17000.0
223,11NPSWRD_WQX-PRSF_WQ_EL2_20130717_L,,,370.0
224,11NPSWRD_WQX-PRSF_WQ_EL2_20130924_L/1,,,24000.0
225,11NPSWRD_WQX-PRSF_WQ_EL2_20131217_L,,,610.0
226,11NPSWRD_WQX-PRSF_WQ_EL2_20131217_L/1,,,400.0
227,11NPSWRD_WQX-PRSF_WQ_EL2_20140225_L,,,4800.0
228,11NPSWRD_WQX-PRSF_WQ_EL2_20140225_L/1,,,4900.0
229,11NPSWRD_WQX-PRSF_WQ_EL2_20140325_L,,,6100.0
230,11NPSWRD_WQX-PRSF_WQ_EL2_20140325_L/1,,,5800.0
231,11NPSWRD_WQX-PRSF_WQ_EL2_20140331_L,,,5200.0
232,11NPSWRD_WQX-PRSF_WQ_EL2_20140331_L/1,,,7300.0
233,11NPSWRD_WQX-PRSF_WQ_EL2_20140422_L,,,17000.0
234,11NPSWRD_WQX-PRSF_WQ_EL2_20140422_L/1,,,17000.0
235,11NPSWRD_WQX-PRSF_WQ_EL2_20140527_L,,,16000.0
236,11NPSWRD_WQX-PRSF_WQ_EL2_20140527_L/1,,,20000.0
237,11NPSWRD_WQX-PRSF_WQ_EL2_20140623_L,,,14000.0
238,11NPSWRD_WQX-PRSF_WQ_EL2_20140728_L,,,20000.0
239,11NPSWRD_WQX-PRSF_WQ_EL2_20140827_L,,,17000.0
240,11NPSWRD_WQX-PRSF_WQ_EL2_20141124_L,,,20000.0
241,11NPSWRD_WQX-PRSF_WQ_EL2_20150121_L,,,5800.0
242,11NPSWRD_WQX-PRSF_WQ_EL2_20150218_L,,,1800.0
243,11NPSWRD_WQX-PRSF_WQ_EL2_20150317_L,,,1200.0
244,11NPSWRD_WQX-PRSF_WQ_EL2_20150414_L,,,2200.0
245,11NPSWRD_WQX-PRSF_WQ_EL2_20150519_L,,,960.0
246,11NPSWRD_WQX-PRSF_WQ_EL2_20150616_L,,,2600.0
247,11NPSWRD_WQX-PRSF_WQ_EL2_20160216_L,,,410.0
248,11NPSWRD_WQX-PRSF_WQ_EL2_20160323_L,,,890.0
249,11NPSWRD_WQX-PRSF_WQ_EL2_20160323_L/1,,,1300.0
250,11NPSWRD_WQX-PRSF_WQ_EL2_20160418_L,,,710.0
251,11NPSWRD_WQX-PRSF_WQ_EL2_20160620_L,,,5200.0
252,11NPSWRD_WQX-PRSF_WQ_EL2_20160712_L,,,6200.0
253,11NPSWRD_WQX-PRSF_WQ_EL2_20160824_L,,,1000.0
254,11NPSWRD_WQX-PRSF_WQ_EL2_20161117_L,,,6300.0
255,11NPSWRD_WQX-PRSF_WQ_EL2_20161215_L,,,2900.0
256,11NPSWRD_WQX-PRSF_WQ_EL2_20170122_L,,,20000.0
257,11NPSWRD_WQX-PRSF_WQ_EL2_20170320_L,,,10000.0
258,11NPSWRD_WQX-PRSF_WQ_EL2_20170425_L,,,520.0
259,11NPSWRD_WQX-PRSF_WQ_EL2_20170523_L,,,1800.0
260,11NPSWRD_WQX-PRSF_WQ_EL2_20170613_L,,,1900.0
261,11NPSWRD_WQX-PRSF_WQ_EL2_20170719_L,,,20000.0
262,11NPSWRD_WQX-PRSF_WQ_EL2_20170828_L,,,5800.0
263,11NPSWRD_WQX-PRSF_WQ_EL2_20171031_L,,,16000.0
264,11NPSWRD_WQX-PRSF_WQ_EL2_20171128_L,,,8200.0
265,11NPSWRD_WQX-PRSF_WQ_EL2_20171218_L,,,2200.0
266,11NPSWRD_WQX-PRSF_WQ_EL2_20171218_L/1,,,1400.0
267,11NPSWRD_WQX-PRSF_WQ_EL2_20180124_L,,,1100.0
268,11NPSWRD_WQX-PRSF_WQ_EL2_20180320_L,,,3900.0
269,11NPSWRD_WQX-PRSF_WQ_EL2_20180522_L,,,490.0
270,11NPSWRD_WQX-PRSF_WQ_EL2_20180626_L,,,20000.0
271,11NPSWRD_WQX-PRSF_WQ_EL2_20180814_L,,,6500.0
272,11NPSWRD_WQX-PRSF_WQ_EL3_20110316_L,,,6100.0
273,11NPSWRD_WQX-PRSF_WQ_LOB3_20100120_L,,,24000.0
274,11NPSWRD_WQX-PRSF_WQ_LOB3_20100217_L,,,24000.0
275,11NPSWRD_WQX-PRSF_WQ_LOB3_20100316_L,,,20000.0
276,11NPSWRD_WQX-PRSF_WQ_LOB3_20100421_L,,,24000.0
277,11NPSWRD_WQX-PRSF_WQ_LOB3_20100520_L,,,24000.0
278,11NPSWRD_WQX-PRSF_WQ_LOB3_20100616_L,,,9600.0
279,11NPSWRD_WQX-PRSF_WQ_LOB3_20101020_L,,,24000.0
280,11NPSWRD_WQX-PRSF_WQ_LOB3_20101222_L,,,14000.0
281,11NPSWRD_WQX-PRSF_WQ_LOB3_20110124_L,,,14000.0
282,11NPSWRD_WQX-PRSF_WQ_LOB3_20110216_L,,,14000.0
283,11NPSWRD_WQX-PRSF_WQ_LOB3_20110316_L,,,11000.0
284,11NPSWRD_WQX-PRSF_WQ_LOB3_20110421_L,,,1700.0
285,11NPSWRD_WQX-PRSF_WQ_LOB3_20110519_L,,,1800.0
286,11NPSWRD_WQX-PRSF_WQ_LOB3_20110621_L,,,24000.0
287,11NPSWRD_WQX-PRSF_WQ_LOB3_20110721_L,,,24000.0
288,11NPSWRD_WQX-PRSF_WQ_LOB3_20110825_L,,,24000.0
