,ActivityIdentifier,"Acidity, (H+)",Ammonia and ammonium,Arsenic,Barium,Barometric pressure,Bed sediment particle size,Bedload sediment flux,Bedload sediment particle size,Boron,Calcium,Carbon dioxide,Chloride,Depth,Fluoride,"Hardness, Ca, Mg","Height, gage",Magnesium,Nitrate,Nitrite,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Number of sampling points,Organic carbon,Orthophosphate,Oxygen,Phosphorus,Potassium,Refractive Index (RI),Silica,Sodium,Specific conductance,"Stream flow, instantaneous",Stream width measure,Sulfate,Suspended Sediment Concentration (SSC),Suspended Sediment Discharge,"Temperature, air","Temperature, water",Total volatile solids,Turbidity,pH
85,11NPSWRD_WQX-PRSF_WQ_DF1_20110920_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,
86,11NPSWRD_WQX-PRSF_WQ_DF1_20110920_L^01,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
87,11NPSWRD_WQX-PRSF_WQ_DF1_20111018_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,
88,11NPSWRD_WQX-PRSF_WQ_DF1_20111018_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.0,,,,,,,15.7,,,6.86
89,11NPSWRD_WQX-PRSF_WQ_DF1_20111018_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,
90,11NPSWRD_WQX-PRSF_WQ_DF1_20111018_L^01,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,
91,11NPSWRD_WQX-PRSF_WQ_DF1_20111114_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,
92,11NPSWRD_WQX-PRSF_WQ_DF1_20111114_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.0,,,,,,,14.26,,,7.69
93,11NPSWRD_WQX-PRSF_WQ_DF1_20111114_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,
94,11NPSWRD_WQX-PRSF_WQ_DF1_20111114_L^01,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,
95,11NPSWRD_WQX-PRSF_WQ_DF1_20111214_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,
96,11NPSWRD_WQX-PRSF_WQ_DF1_20111214_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.0,,,,,,,6.45,,,7.93
97,11NPSWRD_WQX-PRSF_WQ_DF1_20111214_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,
98,11NPSWRD_WQX-PRSF_WQ_DF1_20120117_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.0,,,,,,,2.16,,,7.66
99,11NPSWRD_WQX-PRSF_WQ_DF1_20120117_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,
100,11NPSWRD_WQX-PRSF_WQ_DF1_20120215_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,
101,11NPSWRD_WQX-PRSF_WQ_DF1_20120215_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.0,,,,,,,7.0,,,7.84
102,11NPSWRD_WQX-PRSF_WQ_DF1_20120215_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,
103,11NPSWRD_WQX-PRSF_WQ_DF1_20120215_L^01,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,
